sample_name,donor,cell_type,read_count,base_count,library,rseqc_bam_stat-proper_pairs_percent,star-total_reads,star-mapped,star-mapped_percent,star-uniquely_mapped,star-uniquely_mapped_percent,star-multimapped,fastp-pct_duplication,fastp-after_filtering_q30_rate,fastp-after_filtering_q30_bases,fastp-filtering_result_passed_filter_reads,fastp-after_filtering_gc_content,fastp-pct_surviving,fastp-pct_adapter
MEP_7653,D7653,MEP,22121067,1592716824,RNA,71.29237790968295,20.416029,16.648066,81.55000000000001,14.831993,72.65,1.816073,26.5224,89.5694,1316.412237,40.832058,44.7118,92.29224340760776,0.064562889
MPP_5852,D5852,MPP,52870726,3806692272,RNA,48.75243472651897,50.083669,37.354814,74.58,30.938044,61.77,6.41677,26.8767,87.5941,3158.358068,100.167338,44.5668,94.72854410964584,0.010255202
MPP_6792,D6792,MPP,52716828,7839953375,RNA,41.635256407013046,48.37836,42.544223,87.94,35.305961,72.98,7.238262,18.6463,88.7851,6389.260230999999,96.75672,46.1027,91.77024080432152,0.1145952863476535
MPP_7256,D7256,MPP,30092151,4540790024,RNA,61.903956865390064,23.782696,18.345105,77.14,16.659838999999998,70.05,1.685266,1.34377,67.50019999999999,2420.580578,47.565392,43.6538,79.03288801122925,0.1216230770608588
MPP_7653,D7653,MPP,14625280,1053020160,RNA,71.65467115772063,13.951003,11.314135,81.1,10.206749,73.16,1.107386,18.8765,89.5218,899.1252109999999,27.902006,43.5982,95.38964724094173,0.046426462
Mono_5852,D5852,Mono,62755298,4518381456,RNA,56.700701913734655,59.334519,45.09276,76,39.229192,66.12,5.863568,27.2433,87.7773,3749.568844,118.669038,44.2379,94.54901959034598,0.007602545
Mono_6792,D6792,Mono,32884930,4891033210,RNA,65.20346280238101,30.376089,27.031596,88.99,24.872507,81.88,2.159089,19.2354,88.87119999999999,4016.288031,60.752178,45.183,92.3708489,0.1069821343697553
Mono_7653,D7653,Mono,41560078,2992325616,RNA,71.43108546127904,39.055387,31.802107,81.43,28.946034,74.12,2.856073,21.601,89.51440000000001,2516.809968,78.11077399999999,44.4012,93.97332459289416,0.039420042
NKcell_1022,D1022,NKcell,13989928,2126469056,RNA,63.16323541205333,13.102894,11.62642,88.73,10.613787,81,1.012633,18.5395,95.8677,1905.637659,26.205788,43.7783,93.65948130683732,0.8132207685414821
NKcell_2596,D2596,NKcell,39108681,5944519512,RNA,77.50349245651132,36.745466,32.129678,87.44,30.488123,82.97,1.641555,24.6944,95.551,5330.38151,73.490932,42.1898,93.95731346705352,0.4754494277114587
NKcell_5483,D5483,NKcell,21603396,3283716192,RNA,80.51954031040155,20.551745,18.28795,88.97999999999999,17.473436,85.02,0.814514,22.2295,95.9473,2993.022703,41.10349,42.7721,95.13201072646171,0.616162385
NKcell_7653,D7653,NKcell,24323975,1751326200,RNA,56.693828266796274,23.017286,18.789773,81.63000000000001,16.499617999999998,71.68,2.290155,18.388,89.49000000000001,1482.876921,46.034572,45.3286,94.62797918514552,0.036507191
